game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3735759200,1,2151,2.7631746031746034,412.2566248256624,986.4267782426778,26.0,1,3,7
3735788696,0,1808,2.91,343.71238938053096,535.0353982300885,24.0,0,1,0
3735788696,1,1808,4.711428571428572,403.5265486725664,727.7323008849557,29.8,1,4,10
3735908568,0,2114,1.922222222222222,356.8211920529801,838.2800378429517,27.8,0,1,5
3735908568,1,2114,3.1676190476190476,397.6915799432355,758.2138126773888,37.0,1,4,11
3735936592,0,960,0.82,341.275,368.6,9.2,0,1,0
3735936592,1,960,5.24,403.1875,620.9,10.6,0,1,2
3735947739,0,1697,1.9933333333333334,328.34885091337657,596.5562757807896,19.8,0,1,1
3735947739,1,1697,4.591428571428571,432.0777843252798,776.8461991750147,26.0,1,3,10
3736000827,0,1539,1.886984126984127,370.019493177388,887.812865497076,21.6,0,1,5
3736000827,1,1539,2.99,393.4346978557505,893.6062378167642,17.0,0,2,7
3736006870,0,1675,1.3600793650793652,353.67402985074625,624.0501492537313,21.6,0,1,3
3736006870,1,1675,5.723809523809524,421.0889552238806,710.4859701492537,23.0,0,3,8
3736011940,0,1595,1.318065268065268,379.23009404388716,594.319749216301,21.6,0,2,3
3736011940,1,1595,3.557142857142857,434.0764890282132,809.0332288401254,20.2,0,1,9
3736012493,0,1746,1.4266666666666665,362.2680412371134,522.8659793814434,21.4,0,0,5
3736012493,1,1746,7.427777777777777,419.05154639175254,791.6426116838487,25.0,1,4,11
3736015945,0,2618,1.8236363636363635,369.8961038961039,626.690603514133,45.2,0,4,8
3736015945,1,2618,5.871428571428572,409.59969442322387,797.7203972498089,47.4,2,2,10
3736061419,0,1458,2.0976190476190473,334.0164609053498,478.3950617283951,17.6,0,0,2
3736061419,1,1458,4.583333333333334,393.6460905349794,611.1358024691358,18.4,0,3,8
3736072428,0,1596,1.5849999999999997,358.6015037593985,674.2481203007518,15.2,0,1,2
3736072428,1,1596,4.15,444.85714285714283,775.9548872180451,19.8,1,2,7
3736109628,0,1959,1.9941414141414142,345.5375191424196,624.35528330781,36.0,0,2,3
3736109628,1,1959,4.183809523809524,415.0872894333844,824.9739663093414,31.8,1,3,8
3736147122,0,1892,1.2922222222222222,337.6553911205074,485.0549682875264,19.6,0,1,3
3736147122,1,1892,4.842857142857143,403.54122621564477,807.583509513742,22.2,1,3,9
3736157965,0,2696,2.4483333333333333,395.75074183976267,1027.9272997032642,35.4,1,2,8
3736157965,1,2696,2.6742763772175535,416.41691394658756,1328.8887240356084,42.8,1,5,10
3736202614,0,2039,1.723199023199023,399.6253065228053,771.7724374693478,30.2,1,1,5
3736202614,1,2039,4.6049999999999995,416.1451692005885,829.97743992153,33.4,0,4,8
3736207168,0,1825,1.361958041958042,390.4109589041096,778.4153424657534,23.8,0,1,5
3736207168,1,1825,5.031818181818182,441.79726027397254,810.1873972602739,24.8,1,4,11
3736273217,0,1687,1.2064285714285714,322.6129223473622,487.25548310610554,29.8,0,2,2
